Username,Komentar,Timestamp,Likes,Original Text,Public
@Gainessaunders-x7s,"<a href=""https://www.youtube.com/watch?v=sg8Mzx0fZbU&amp;t=2"">0:02</a> Wah keren Weton88 terbaik menang mudah",2025-03-26T17:00:45Z,0,0:02 Wah keren Weton88 terbaik menang mudah,True
@Mcmillensaunders-w7d,"Semangat Bosqu , Terbaik ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",2025-03-26T17:00:44Z,0,"Semangat Bosqu , Terbaik ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",True
@Spannsaunders-r4t,"terimakasih selalu upload bg, walaupun masih sibuk🎉𝗪𝗘𝗧𝗢𝗡𝟴𝟴",2025-03-26T17:00:43Z,0,"terimakasih selalu upload bg, walaupun masih sibuk🎉𝗪𝗘𝗧𝗢𝗡𝟴𝟴",True
@Poolsaunders-j1h,Cair terus ini kakak mantap banget cuan di Weton88,2025-03-26T17:00:43Z,0,Cair terus ini kakak mantap banget cuan di Weton88,True
@Agung-cr6rl,Protes kok nyuruh narik TNI yang ada di papua?,2025-03-26T16:59:25Z,0,Protes kok nyuruh narik TNI yang ada di papua?,True
@Alfath1204,Finally,2025-03-26T16:56:11Z,0,Finally,True
@DevTr1,"satu lagi tambahan bang, persentase pemberontakan di setiap daerah pastinya bakalan semakin besar kalo emang pemerintah nya melawan rakyat dengan senjata, kayak di myanmar banyak anak muda yang join ke fraksi2 pemberontak yang udah ada atau malah membuat fraksi nya sendiri",2025-03-26T16:55:37Z,0,"satu lagi tambahan bang, persentase pemberontakan di setiap daerah pastinya bakalan semakin besar kalo emang pemerintah nya melawan rakyat dengan senjata, kayak di myanmar banyak anak muda yang join ke fraksi2 pemberontak yang udah ada atau malah membuat fraksi nya sendiri",True
@lonthongbalap46,"<a href=""http://www.youtube.com/results?search_query=%23tolakruutni"">#TolakRUUTNI</a>",2025-03-26T16:53:17Z,0,#TolakRUUTNI,True
@supriyantoyanto5260,Selama bertujuan baik n tdk mmenyusahkan rakyat saya settuju,2025-03-26T16:52:15Z,0,Selama bertujuan baik n tdk mmenyusahkan rakyat saya settuju,True
@DJ4K0,"Belum ada UU nya aja loreng sdh seenaknya, aplg kasih UU makin bebas lepas seenaknya dan tergntung komandannya. Sdh enak mana mau turun lg ke gaji militer 😅😅😅",2025-03-26T16:51:36Z,0,"Belum ada UU nya aja loreng sdh seenaknya, aplg kasih UU makin bebas lepas seenaknya dan tergntung komandannya. Sdh enak mana mau turun lg ke gaji militer 😅😅😅",True
@rohaeniar1280,Cosplay korut laaah 😂,2025-03-26T16:51:23Z,0,Cosplay korut laaah 😂,True
@Raka-y7q,Firasat gua di jaman ini cepat apa lambat kyanya bakal terjadi WWE PART 3 DEH,2025-03-26T16:50:34Z,0,Firasat gua di jaman ini cepat apa lambat kyanya bakal terjadi WWE PART 3 DEH,True
